Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2023,4530.05,4655.95,4530.05,4621.50,4623.142581143740340030,10352,1883,47858772.00,6704,64.76,125.90,91.45
29-March-2023,4550.00,4575.00,4522.95,4564.50,4555.016151685393258426,8544,1762,38918058.00,4733,55.40,52.05,14.50
28-March-2023,4483.00,4547.45,4480.50,4528.30,4534.934115253425887140,33422,2025,151566568.00,6343,18.98,66.95,45.30
27-March-2023,4472.05,4527.05,4472.00,4486.10,4502.928236397748592870,4264,1075,19200486.00,1550,36.35,55.05,14.05
24-March-2023,4423.40,4498.00,4423.40,4462.30,4468.165705054234941149,4333,1095,19360562.00,1762,40.66,74.60,38.90
23-March-2023,4489.95,4500.00,4434.30,4447.95,4471.731219408384762715,4699,1269,21012665.00,1838,39.11,65.70,-42.00
22-March-2023,4422.60,4480.00,4417.70,4476.00,4446.594001790510295434,2234,792,9933691.00,945,42.30,62.30,53.40
21-March-2023,4415.05,4479.40,4399.50,4419.30,4463.226020805645937399,21821,2547,97392055.00,17150,78.59,79.90,4.25
20-March-2023,4454.95,4491.95,4383.30,4441.80,4454.461116373256687461,30617,5969,136382236.00,22839,74.60,108.65,-13.15
17-March-2023,4426.00,4469.20,4397.65,4435.00,4427.719968072369296261,7517,2020,33283171.00,2301,30.61,71.55,9.00
16-March-2023,4380.00,4426.65,4369.10,4383.00,4390.937734668335419274,3196,955,14033437.00,1234,38.61,57.55,3.00
15-March-2023,4322.65,4424.00,4322.65,4396.85,4395.595905989385898407,3957,1293,17393373.00,1664,42.05,101.35,74.20
14-March-2023,4398.00,4418.95,4310.00,4349.05,4360.523892959541255176,6278,1811,27375369.00,1470,23.42,108.95,-48.95
13-March-2023,4352.05,4416.55,4346.10,4383.65,4375.290326649009963425,7929,1577,34691677.00,4295,54.17,70.45,31.60
10-March-2023,4385.00,4410.10,4352.75,4396.50,4386.287216380741560597,3614,1135,15852042.00,1077,29.80,57.35,11.50
9-March-2023,4420.00,4437.75,4375.00,4382.05,4398.413131900058105752,1721,604,7569669.00,500,29.05,62.75,-37.95
8-March-2023,4432.00,4443.40,4403.65,4425.25,4426.927339084273390842,3014,622,13342759.00,734,24.35,39.75,-6.75
6-March-2023,4404.05,4455.45,4404.05,4436.40,4441.206677265500794912,1887,531,8380557.00,740,39.22,51.40,32.35
3-March-2023,4402.10,4446.30,4364.00,4436.00,4418.390482193507721399,3173,706,14019553.00,1117,35.20,82.30,33.90
2-March-2023,4330.05,4399.95,4321.00,4390.05,4381.739365883483273648,11449,933,50166534.00,8428,73.61,78.95,60.00
1-March-2023,4331.45,4354.50,4298.40,4346.95,4323.885593220338983050,2596,819,11224807.00,546,21.03,56.10,15.50
28-February-2023,4426.15,4426.20,4301.10,4311.25,4368.727539322847240735,3751,1287,16387097.00,926,24.69,125.10,-114.90
27-February-2023,4489.10,4489.10,4355.30,4415.00,4402.455125797972211791,5326,1535,23447476.00,1705,32.01,133.80,-74.10
24-February-2023,4529.95,4529.95,4442.60,4499.35,4493.283644138258700558,8419,985,37828955.00,6044,71.79,87.35,-30.60
23-February-2023,4478.10,4512.00,4441.00,4451.95,4480.072892938496583143,3073,763,13767264.00,1547,50.34,71.00,-26.15
22-February-2023,4480.00,4520.75,4465.15,4475.20,4486.225939938519744620,8458,1960,37944499.00,4874,57.63,55.60,-4.80
21-February-2023,4503.00,4503.00,4459.35,4486.85,4476.780036968576709796,2164,482,9687752.00,984,45.47,43.65,-16.15
20-February-2023,4510.60,4539.45,4465.70,4473.30,4506.791285547979378014,6013,1393,27099336.00,1660,27.61,73.75,-37.30
17-February-2023,4470.05,4533.00,4464.55,4510.55,4499.545080914461854610,3893,876,17516729.00,993,25.51,68.45,40.50
16-February-2023,4549.95,4549.95,4510.00,4518.35,4530.601859024012393493,1291,409,5849007.00,514,39.81,39.95,-31.60
15-February-2023,4538.40,4561.55,4505.10,4519.25,4523.028683181225554106,3835,918,17345815.00,1505,39.24,56.45,-19.15
14-February-2023,4550.00,4562.30,4500.05,4541.35,4544.656168479989819940,15717,3932,71428361.00,12610,80.23,62.25,-8.65
13-February-2023,4534.95,4555.50,4505.30,4522.25,4528.467598625755242269,8441,1322,38224795.00,3256,38.57,50.20,-12.70
10-February-2023,4468.50,4503.55,4433.05,4498.10,4466.288963774220724515,2374,538,10602970.00,740,31.17,70.50,29.60
9-February-2023,4490.05,4526.90,4432.05,4486.65,4516.175450988915453162,18404,1799,83115693.00,13846,75.23,94.85,-3.40
8-February-2023,4442.00,4496.20,4431.95,4486.30,4475.078083407275953859,7889,1988,35303891.00,4173,52.90,64.25,44.30
7-February-2023,4332.05,4468.75,4332.05,4441.90,4437.818200270635994587,29560,3782,131181906.00,14873,50.31,136.70,109.85
6-February-2023,4306.05,4368.00,4288.55,4350.05,4326.561583171879324660,3613,942,15631867.00,555,15.36,79.45,44.00
3-February-2023,4371.00,4428.10,4318.10,4357.90,4365.185134371721410701,24782,4036,108178018.00,18841,76.03,110.00,-13.10
2-February-2023,4324.85,4376.90,4298.60,4370.05,4337.139979159430357763,2879,727,12486626.00,549,19.07,78.30,45.20
1-February-2023,4324.05,4376.20,4310.00,4350.50,4343.479062957540263543,3415,981,14832981.00,1080,31.63,66.20,26.45
31-January-2023,4332.05,4375.50,4293.55,4324.00,4330.151322077094616119,6278,1551,27184690.00,2266,36.09,81.95,-8.05
30-January-2023,4315.00,4338.25,4281.35,4331.45,4312.665331211239778277,18221,3718,78581075.00,12679,69.58,56.90,16.45
