,,"Political Risk
Short Term","Political Risk
Medium/Long
Term",Premium classification OECD,Commercial Risk,Business environment risk,Political Violence Risk,Expropriation and Government Action Risk,Currency Inconvertibility and Transfer Restriction Risk
AFG,Afghanistan,7,7,7,C,G,7,7,7
ALB,Albania,3,4,5,B,D,2,3,4
DZA,Algeria,3,4,5,B,D,5,5,4
ASM,American Samoa,2,3,-,C,E,2,-,3
VIR,American Virgin Islands,2,2,-,B,D,1,-,2
AND,Andorra,1,1,0,B,D,1,-,1
AGO,Angola,5,6,6,C,F,5,4,6
AIA,Anguilla,5,6,-,C,E,1,-,6
ATG,Antigua and Barbuda,5,6,7,C,E,1,-,6
ARG,Argentina,6,7,7,C,G,2,5,7
ARM,Armenia,4,6,6,B,D,5,4,6
ABW,Aruba,2,5,5,B,C,1,-,5
AUS,Australia,1,1,0,A,B,1,1,1
AUT,Austria,1,1,0,B,D,1,1,1
AZE,Azerbaijan,3,4,4,B,D,5,3,4
BHS,Bahamas,4,4,4,B,D,1,3,4
BHR,Bahrain,4,6,6,B,D,4,3,6
BGD,Bangladesh,4,4,5,C,F,4,5,4
BRB,Barbados,3,5,-,B,D,1,2,5
BLR,Belarus,7,7,7,C,G,5,6,7
BEL,Belgium,1,1,0,B,D,1,1,1
BLZ,Belize,4,5,-,B,D,2,5,5
BEN,Benin,5,6,6,C,E,4,4,6
BMU,Bermuda,2,3,-,B,D,1,-,3
BTN,Bhutan,3,6,6,B,D,2,-,6
BOL,Bolivia,6,7,7,C,G,4,6,7
BES,"Bonaire, Sint Eustatius and Saba",2,2,-,B,C,2,-,2
BIH,Bosnia and Herzegovina,5,6,6,C,E,5,4,6
BWA,Botswana,1,3,3,A,B,1,2,3
BRA,Brazil,2,4,4,C,E,2,3,4
IOT,British Indian Ocean Territory,2,2,-,B,D,2,-,2
VGB,British Virgin Islands,2,2,-,B,D,1,2,2
BRN,Brunei Darussalam,1,2,-,A,B,2,1,2
BGR,Bulgaria,1,2,3,B,D,1,1,2
BFA,Burkina Faso,6,7,7,C,F,6,5,7
BDI,Burundi,7,7,7,C,G,5,5,7
CPV,Cabo Verde,3,6,6,B,C,2,3,6
KHM,Cambodia,3,6,6,C,F,3,4,6
CMR,Cameroon,5,6,6,C,E,6,4,6
CAN,Canada,1,1,0,B,D,1,1,1
CYM,Cayman Islands,2,3,-,B,D,1,-,3
CAF,Central African Republic,7,7,7,C,G,7,7,7
TCD,Chad,5,7,7,C,F,6,5,7
CHL,Chile,2,3,0,B,C,2,1,3
CHN,China,1,2,2,B,D,4,5,2
COL,Colombia,3,5,4,C,E,5,4,5
COM,Comoros,5,7,-,C,F,5,5,7
COD,Congo (Democratic Republic of the),6,7,7,C,F,6,6,7
COG,Congo (Republic of the) ,5,7,7,C,F,4,5,7
COK,Cook Islands,2,4,-,B,D,2,-,4
CRI,Costa Rica,3,3,4,B,C,2,2,3
CIV,Côte d'Ivoire,4,5,5,B,D,5,4,5
HRV,Croatia,1,1,-,B,D,1,1,1
CUB,Cuba,7,7,7,C,G,3,6,7
CUW,Curaçao,3,5,5,B,D,1,-,5
CYPNOR,Cyprus (North),6,5,-,C,G,5,-,5
CYP,Cyprus (South),1,4,0,B,D,2,1,4
CZE,Czech Republic,1,1,0,C,E,1,1,1
DNK,Denmark,1,1,0,A,B,1,1,1
DJI,Djibouti,5,7,7,C,E,5,5,7
DMA,Dominica,4,6,-,C,E,2,3,6
DOM,Dominican Republic,2,4,4,B,C,2,3,4
ECU,Ecuador,4,6,6,C,E,3,5,6
EGY,Egypt,6,6,6,C,G,5,4,6
SLV,El Salvador,5,5,7,C,F,2,4,5
GNQ,Equatorial Guinea,5,7,7,C,G,5,6,7
ERI,Eritrea,7,7,7,C,G,6,7,7
EST,Estonia,1,1,0,B,D,3,1,1
SWZ,Eswatini,4,5,6,C,E,5,4,5
ETH,Ethiopia,6,7,7,C,F,6,6,7
FLK,Falkland Islands,2,3,-,B,D,3,-,3
FRO,Faroe Islands,1,2,-,B,C,1,-,2
FJI,Fiji,4,5,5,C,E,2,-,5
FIN,Finland,1,1,0,B,C,2,1,1
FRA,France,1,1,0,B,D,1,1,1
GUF,French Guiana,1,2,-,B,D,2,-,2
PYF,French Polynesia,2,4,-,B,D,2,2,4
GAB,Gabon,5,5,7,C,E,5,6,5
GMB,Gambia,5,7,7,C,E,4,3,7
GEO,Georgia,5,6,6,B,D,6,4,6
DEU,Germany,1,1,0,B,D,1,1,1
GHA,Ghana,6,6,7,C,G,3,3,6
GIB,Gibraltar,1,2,-,B,D,2,-,2
GRC,Greece,1,3,0,C,E,1,1,3
GRL,Greenland,1,2,-,B,C,2,-,2
GRD,Grenada,4,6,-,C,E,2,-,6
GLP,Guadeloupe,1,2,-,B,D,2,1,2
GUM,Guam,2,3,-,B,C,3,-,3
GTM,Guatemala,2,4,4,B,D,3,4,4
GGY,Guernsey (Channel Islands),1,1,-,B,D,1,1,1
GIN,Guinea,6,7,7,C,E,5,6,7
GNB,Guinea-Bissau,5,7,7,C,E,6,5,7
GUY,Guyana,4,4,5,B,C,3,4,4
HTI,Haiti,7,7,7,C,G,7,7,7
HND,Honduras,2,4,5,B,D,3,4,4
HKG,Hong Kong,1,2,2,B,C,2,1,2
HUN,Hungary,2,3,0,C,E,1,3,3
ISL,Iceland,1,2,0,B,C,1,1,2
IND,India,2,3,3,B,D,4,3,3
IDN,Indonesia,1,3,3,B,C,3,4,3
IRN,Iran,7,7,7,C,G,6,6,7
IRQ,Iraq,7,7,7,C,G,7,7,7
IRL,Ireland,1,1,0,B,C,1,1,1
IMN,Isle of Man,1,2,-,B,D,1,-,2
ISR,Israel,3,3,0,C,E,5,2,3
ITA,Italy,1,1,0,B,D,1,1,1
JAM,Jamaica,3,5,6,B,D,1,2,5
JPN,Japan,1,1,0,B,D,2,1,1
JEY,Jersey (Channel Islands),1,1,-,B,D,1,1,1
JOR,Jordan,5,6,5,C,E,4,3,6
KAZ,Kazakhstan,3,5,5,B,D,3,3,5
KEN,Kenya,5,7,7,C,F,4,4,7
KIR,Kiribati,5,7,-,C,E,2,-,7
PRK,Korea (North),7,7,7,C,G,6,6,7
KOR,Korea (South),1,1,0,A,B,3,1,1
KOS,Kosovo,3,6,6,C,E,4,4,6
KWT,Kuwait,1,3,2,C,E,3,4,3
KGZ,Kyrgyzstan,6,6,7,C,G,5,6,6
LAO,Laos,6,7,7,C,G,3,4,7
LVA,Latvia,1,2,0,B,D,3,1,2
LBN,Lebanon,7,7,7,C,G,7,6,7
LSO,Lesotho,3,5,6,C,E,4,4,5
LBR,Liberia,6,7,7,C,G,4,5,7
LBY,Libya,7,7,7,C,G,7,7,7
LIE,Liechtenstein,1,1,-,A,B,1,-,1
LTU,Lithuania,1,1,0,B,D,3,1,1
LUX,Luxembourg,1,1,0,B,C,1,1,1
MAC,Macau,1,2,-,B,C,1,-,2
MDG,Madagascar,4,6,7,C,F,4,4,6
MWI,Malawi,7,7,7,C,G,3,4,7
MYS,Malaysia,2,2,2,B,C,2,2,2
MDV,Maldives,5,6,7,C,E,2,4,6
MLI,Mali,6,7,7,C,F,6,5,7
MLT,Malta,1,1,0,B,D,1,1,1
MHL,Marshall Islands,6,7,-,B,D,2,-,7
MTQ,Martinique,1,2,-,B,D,2,-,2
MRT,Mauritania,4,6,7,C,F,4,5,6
MUS,Mauritius,2,3,3,B,C,1,1,3
MYT,Mayotte,1,4,-,B,D,3,2,4
MEX,Mexico,1,3,3,B,D,3,4,3
FSM,Micronesia,4,6,-,C,E,2,-,6
MDA,Moldova,6,6,7,C,G,6,5,6
MCO,Monaco,1,1,0,B,D,1,-,1
MNG,Mongolia,5,7,7,C,E,1,4,7
MNE,Montenegro,2,6,7,C,E,2,3,6
MSR,Montserrat,4,7,-,C,E,2,-,7
MAR,Morocco,2,4,3,B,D,4,3,4
MOZ,Mozambique,7,7,7,C,G,6,5,7
MMR,Myanmar,6,6,7,C,G,6,6,6
NAM,Namibia,3,6,6,B,D,2,3,6
NRU,Nauru,3,5,-,B,D,3,-,5
NPL,Nepal,3,6,6,C,E,4,5,6
NLD,Netherlands,1,1,0,B,D,1,1,1
NCL,New Caledonia,2,4,-,B,D,2,2,4
NZL,New Zealand,1,1,0,B,C,1,1,1
NIC,Nicaragua,5,6,7,C,G,4,5,6
NER,Niger,5,7,7,C,E,6,5,7
NGA,Nigeria,5,6,6,C,G,6,6,6
NIU,Niue,2,5,-,B,D,2,-,5
NFK,Norfolk Islands,2,3,-,B,C,2,-,3
MKD,North Macedonia,3,5,5,C,E,3,3,5
MNP,North Mariana Islands,2,3,-,B,C,2,-,3
NOR,Norway,1,1,0,B,C,1,1,1
OMN,Oman,3,5,5,B,C,3,2,5
PAK,Pakistan,6,7,7,C,G,6,5,7
PLW,Palau,6,6,-,C,E,2,3,6
PSE,Palestine,7,7,7,C,G,7,7,7
PAN,Panama,3,4,4,B,C,1,3,4
PNG,Papua New Guinea,4,5,6,C,E,4,4,5
PRY,Paraguay,3,4,5,C,E,3,4,4
PER,Peru,1,3,3,C,E,3,4,3
PHL,Philippines,2,3,3,B,D,4,3,3
PCN,Pitcairn Islands,2,3,-,B,D,2,-,3
POL,Poland,1,2,0,C,E,1,2,2
PRT,Portugal,1,1,0,B,D,1,1,1
PRI,Puerto Rico,2,2,-,C,E,2,-,2
QAT,Qatar,2,4,3,B,C,3,3,4
REU,Reunion,1,2,-,B,D,1,-,2
ROU,Romania,1,2,3,B,D,1,1,2
RUS,Russia,7,7,7,C,G,6,6,7
RWA,Rwanda,4,7,6,C,E,5,3,7
BLM,Saint Barthélemy,1,2,-,B,D,2,-,2
SHN,Saint Helena,2,3,-,B,D,1,-,3
KNA,Saint Kitts and Nevis,4,5,-,C,E,2,-,5
LCA,Saint Lucia,4,6,-,C,E,2,-,6
MAF,Saint Martin (French part),1,2,-,B,D,2,-,2
SPM,Saint Pierre and Miquelon,1,3,-,B,D,1,-,3
VCT,Saint Vincent and the Grenadines,5,6,-,C,E,2,-,6
WSM,Samoa,4,6,-,C,E,1,-,6
SMR,San Marino,1,1,0,B,D,1,-,1
STP,Sao Tome and Principe,7,7,-,C,F,2,3,7
SAU,Saudi Arabia,2,3,2,B,D,4,4,3
SEN,Senegal,5,5,5,C,E,3,3,5
SRB,Serbia,2,4,4,B,D,4,3,4
SYC,Seychelles,3,6,-,A,B,2,2,6
SLE,Sierra Leone,5,7,7,C,G,3,5,7
SGP,Singapore,1,1,0,B,C,1,1,1
SXM,Sint Maarten (Dutch part),3,5,-,B,D,2,-,5
SVK,Slovakia,1,1,0,B,D,1,1,1
SVN,Slovenia,1,1,0,B,D,1,1,1
SLB,Solomon Islands,3,6,-,C,F,4,-,6
SOM,Somalia,7,7,7,C,G,7,7,7
ZAF,South Africa,3,4,4,C,E,3,4,4
SSD,South Sudan,7,7,7,C,G,7,-,7
ESP,Spain,1,1,0,B,D,1,1,1
LKA,Sri Lanka,6,7,7,C,G,3,4,7
SDN,Sudan,7,7,7,C,G,7,7,7
SUR,Suriname,5,6,7,C,G,3,5,6
SWE,Sweden,1,1,0,B,D,2,1,1
CHE,Switzerland,1,1,0,A,B,1,1,1
SYR,Syria,7,7,7,C,G,7,7,7
TWN,Taiwan,1,2,2,B,C,3,1,2
TJK,Tajikistan,5,7,7,C,F,5,5,7
TZA,Tanzania,4,6,6,C,E,4,4,6
THA,Thailand,2,3,3,B,D,4,4,3
TLS,Timor-Leste,2,6,6,C,E,2,4,6
TGO,Togo,5,6,6,C,E,4,5,6
TKL,Tokelau Islands,2,3,-,B,D,2,-,3
TON,Tonga,4,6,-,C,E,3,-,6
TTO,Trinidad and Tobago,2,3,3,A,B,2,3,3
TUN,Tunisia,6,6,7,C,G,4,3,6
TUR,Turkey,5,5,5,C,G,4,5,5
TKM,Turkmenistan,6,6,7,C,G,4,6,6
TCA,Turks and Caicos Islands,2,2,-,B,D,2,2,2
TUV,Tuvalu,3,7,-,B,D,2,-,7
UGA,Uganda,4,6,6,C,E,5,4,6
UKR,Ukraine,7,7,7,C,G,7,7,7
ARE,United Arab Emirates,2,3,2,B,C,3,2,3
GBR,United Kingdom,1,1,0,B,D,1,1,1
USA,United States,1,1,0,B,C,1,1,1
URY,Uruguay,3,3,3,A,B,1,1,3
UZB,Uzbekistan,3,5,5,C,E,4,5,5
VUT,Vanuatu,3,6,-,B,D,3,-,6
VAT,Vatican City,1,1,-,B,D,1,-,1
VEN,Venezuela,7,7,7,C,G,6,7,7
VNM,Vietnam,2,4,4,B,C,3,3,4
WLF,Wallis and Futuna Islands,2,4,-,B,D,2,-,4
ESH,Western Sahara,7,7,-,-,-,-,-,7
YEM,Yemen,7,7,7,C,G,7,7,7
ZMB,Zambia,5,7,7,C,F,3,5,7
ZWE,Zimbabwe,7,7,7,C,G,6,6,7
