Date,Open,High,Low,Close,Adj Close,Volume
2022-03-31,9.360000,9.560000,9.180000,9.390000,9.390000,10245400
2022-04-01,9.420000,9.480000,9.240000,9.390000,9.390000,6168600
2022-04-04,9.480000,9.930000,9.450000,9.890000,9.890000,12757700
2022-04-05,10.030000,10.420000,9.830000,9.970000,9.970000,14978200
2022-04-06,9.950000,10.050000,9.820000,10.050000,10.050000,11054100
2022-04-07,10.090000,10.230000,10.010000,10.180000,10.180000,8974600
2022-04-08,10.220000,10.500000,10.080000,10.400000,10.400000,9685300
2022-04-11,10.420000,10.440000,10.200000,10.260000,10.260000,8335900
2022-04-12,10.190000,10.260000,10.060000,10.150000,10.150000,7134400
2022-04-13,10.110000,10.310000,10.050000,10.280000,10.280000,6075000
2022-04-14,10.260000,10.380000,10.180000,10.190000,10.190000,6027400
2022-04-18,10.200000,10.230000,10.060000,10.110000,10.110000,5012100
2022-04-19,10.150000,10.330000,10.090000,10.180000,10.180000,5407700
2022-04-20,9.880000,10.020000,9.650000,9.680000,9.680000,8742000
2022-04-21,9.730000,9.800000,9.330000,9.380000,9.380000,7022900
2022-04-22,9.370000,9.430000,8.990000,9.120000,9.120000,7910000
2022-04-25,9.020000,9.160000,8.750000,9.130000,9.130000,7032000
2022-04-26,9.130000,9.140000,8.780000,8.790000,8.790000,5353800
2022-04-27,8.840000,9.000000,8.730000,8.920000,8.920000,5756000
2022-04-28,9.050000,9.100000,8.760000,8.950000,8.950000,6275500
2022-04-29,8.950000,9.030000,8.700000,8.710000,8.710000,6538000
2022-05-02,8.550000,8.650000,8.270000,8.530000,8.530000,14267800
2022-05-03,8.390000,8.870000,8.300000,8.600000,8.600000,11039600
2022-05-04,8.410000,8.540000,7.880000,8.330000,8.330000,16236800
2022-05-05,8.230000,8.310000,7.820000,7.910000,7.910000,9855000
2022-05-06,7.900000,7.910000,7.680000,7.840000,7.840000,9014100
2022-05-09,7.670000,7.710000,7.360000,7.420000,7.420000,15362500
2022-05-10,7.570000,7.750000,7.260000,7.490000,7.490000,11526000
2022-05-11,7.490000,7.740000,7.370000,7.380000,7.380000,11378400
2022-05-12,7.270000,7.600000,7.230000,7.510000,7.510000,10405900
